center_freq_hz,center_freq_mhz,fs_hz,n_idle,n_load,sep_mean_abs_delta_db,stability_mean_std_delta_db,score
150000000,150.0,500000.0,3,3,16.271833419799805,0.7030732035636902,15.92029681801796
120000000,120.0,500000.0,3,3,9.23613452911377,0.36257150769233704,9.054848775267601
200000000,200.0,500000.0,3,3,8.280191421508789,0.15502823889255524,8.202677302062511
100000000,100.0,500000.0,3,3,5.633613109588623,1.0323065519332886,5.117459833621979
80000000,80.0,500000.0,3,3,3.9622199535369873,2.2974603176116943,2.81348979473114
